algorithm,n,time
interpolation_search,20000,2e-07
linear_search,19500,4.34e-05
binary_search,19500,3e-07
ternary_search,19500,3e-07
fib_search,19500,3e-07
interpolation_search,19500,2e-07
linear_search,19000,4.2e-06
binary_search,19000,5e-07
ternary_search,19000,5e-07
fib_search,19000,4e-07
interpolation_search,19000,4e-07
linear_search,18500,2.02e-05
binary_search,18500,1e-06
ternary_search,18500,5e-07
fib_search,18500,5e-07
interpolation_search,18500,2e-07
linear_search,18000,4.06e-05
binary_search,18000,3e-07
ternary_search,18000,3e-07
fib_search,18000,4e-07
interpolation_search,18000,2e-07
linear_search,17500,3.88e-05
binary_search,17500,6e-07
ternary_search,17500,3e-07
fib_search,17500,4e-07
interpolation_search,17500,3e-07
linear_search,17000,5.7e-06
binary_search,17000,7e-07
ternary_search,17000,3e-07
fib_search,17000,4e-07
interpolation_search,17000,3e-07
linear_search,16500,1.59e-05
binary_search,16500,3e-07
ternary_search,16500,3e-07
fib_search,16500,3e-07
interpolation_search,16500,2e-07
linear_search,16000,3.55e-05
binary_search,16000,4e-07
ternary_search,16000,4e-07
fib_search,16000,4e-07
interpolation_search,16000,2e-07
linear_search,15500,5.38e-05
binary_search,15500,3e-07
ternary_search,15500,3e-07
fib_search,15500,3e-07
interpolation_search,15500,2e-07
linear_search,15000,6.74e-05
binary_search,15000,8e-07
ternary_search,15000,4e-07
fib_search,15000,3e-07
interpolation_search,15000,3e-07
linear_search,14500,1.13e-05
binary_search,14500,4e-07
ternary_search,14500,4e-07
fib_search,14500,4e-07
interpolation_search,14500,2e-07
linear_search,14000,2.11e-05
binary_search,14000,3e-07
ternary_search,14000,3e-07
fib_search,14000,3e-07
interpolation_search,14000,2e-07
linear_search,13500,6.21e-05
binary_search,13500,1.1e-06
ternary_search,13500,4e-07
fib_search,13500,3e-07
interpolation_search,13500,2e-07
linear_search,13000,1.79e-05
binary_search,13000,3e-07
ternary_search,13000,2e-07
fib_search,13000,3e-07
interpolation_search,13000,3e-07
linear_search,12500,2.77e-05
binary_search,12500,7e-07
ternary_search,12500,3e-07
fib_search,12500,4e-07
interpolation_search,12500,3e-07
linear_search,12000,1.94e-05
binary_search,12000,2e-07
ternary_search,12000,2e-07
fib_search,12000,3e-07
interpolation_search,12000,2e-07
linear_search,11500,1.68e-05
binary_search,11500,8e-07
ternary_search,11500,5e-07
fib_search,11500,8e-07
interpolation_search,11500,3e-07
linear_search,11000,1.43e-05
binary_search,11000,8e-07
ternary_search,11000,3e-07
fib_search,11000,4e-07
interpolation_search,11000,3e-07
linear_search,10500,9.5e-06
binary_search,10500,9e-07
ternary_search,10500,3e-07
fib_search,10500,4e-07
interpolation_search,10500,3e-07
linear_search,10000,9e-07
binary_search,10000,2e-07
